,title,text,name,date,stars,color,is_vine_voice,has_images,found_helpful,verified_purchase,keywords,label,full_text_clean,subset
218,Great Sound/ Perfect fit,"I had my doubts when I ordered these headphones …… BUT TO MY SURPRISE THESE AIR PODS ARE A FANTASTIC BUY ! THEY SOUND GREAT, FIT GREAT ! THEY DON’T FALL OUT WHEN WALKING OR RUNNING. EASY TO USE WITH THE TAP FUNCTION. I GAVE THESE AIRPODS 5 STARS :)",Claudette,2023-08-26,5,white,False,True,2,True,air pods|fantastic buy|sound great|fit great|don’t fall|tap function|airpods 5 stars|FIT GREAT|SOUND GREAT|FANTASTIC BUY|WALKING OR RUNNING|SURPRISE THESE AIR|AIR PODS|DON’T FALL|ordered these headphones|TAP FUNCTION,0,"Great Sound/ Perfect fit. I had my doubts when I ordered these headphones …… BUT TO MY SURPRISE THESE AIR PODS ARE A FANTASTIC BUY ! THEY SOUND GREAT, FIT GREAT ! THEY DON'T FALL OUT WHEN WALKING OR RUNNING. EASY TO USE WITH THE TAP FUNCTION. I GAVE THESE AIRPODS 5 STARS :)",test
169,Great Buy!,Very good product & affordable!,chyantee,2023-06-19,5,,False,False,0,True,affordable|good product,1,Great Buy! Very good product & affordable!,test
85,Quality headphones,"I was skeptical about the quality a pair of $30 headphones can deliver, but these headphones are very good. Sound is very crisp and the Bluetooth lag is almost non-existent. When the earpieces were fully charged, I used them for almost an hour and the battery went down only about 3-5%. I personally like the fact that they have ear hooks (I know, it's subjective), so they don't fly out at the most inconvenient moment and I don't need to get them deep down into my ears.",Dmitriy V.,2023-08-08,5,,False,True,0,True,bluetooth lag|$30 headphones|quality a pair|headphones can deliver|Bluetooth lag|good|skeptical|fully charged|earpieces were fully|ear hooks|Sound|non-existent|inconvenient moment|crisp,0,"Quality headphones. I was skeptical about the quality a pair of $30 headphones can deliver, but these headphones are very good. Sound is very crisp and the Bluetooth lag is almost non-existent. When the earpieces were fully charged, I used them for almost an hour and the battery went down only about 3-5%. I personally like the fact that they have ear hooks (I know, it's subjective), so they don't fly out at the most inconvenient moment and I don't need to get them deep down into my ears.",test
160,Wish I'd bought them sooner,"These headphones are comfortable, great sound, and compact. I've been using them for 2 weeks and I wish I'd bought them sooner.
I rotate headphones frequently, from the WH-900n that I travel with to the more compact sets <$50 that I use everyday. For my daily sets I look for good microphones for calls and passive sound insulation for when I'm in the shop, mowing the lawn or biking. These fit snugly in and around my ears without falling out meeting all my needs, with a solid sound quality. The charging via wireless induction or USB-C works great, and over the last 2 weeks I've really only had to recharge the case once fully.
These are my new go to headphones!",CasualChemist,2023-08-12,5,,False,True,0,True,usb-c works great|compact sets <$50|good microphones|fit snugly|wireless induction|rotate headphones frequently|headphones are comfortable|bought them sooner|weeks|great sound|passive sound insulation|solid sound quality|daily sets,0,"Wish I'd bought them sooner. These headphones are comfortable, great sound, and compact. I've been using them for 2 weeks and I wish I'd bought them sooner. I rotate headphones frequently, from the WH-900n that I travel with to the more compact sets <$50 that I use everyday. For my daily sets I look for good microphones for calls and passive sound insulation for when I'm in the shop, mowing the lawn or biking. These fit snugly in and around my ears without falling out meeting all my needs, with a solid sound quality. The charging via wireless induction or USB-C works great, and over the last 2 weeks I've really only had to recharge the case once fully. These are my new go to headphones!",train
221,They are so good. I love them.,The setup for them is very easy. The sound on the earbuds are also good. It is good alternative for AirPods.,Ian s.,2023-09-07,5,white,False,False,0,True,easy|setup|alternative for AirPods|good alternative|sound|earbuds,0,They are so good. I love them.. The setup for them is very easy. The sound on the earbuds are also good. It is good alternative for AirPods.,train
38,Quality,"Battery lasted 33 hours with the noise canceling and Bluetooth on.
Sound quality is great.
Charges fast.",Amazon Customer,2022-08-16,5,,False,False,0,True,sound quality|charges fast|Battery lasted|canceling and Bluetooth|noise canceling|hours|Sound quality|quality is great|Charges fast,1,Quality. Battery lasted 33 hours with the noise canceling and Bluetooth on. Sound quality is great. Charges fast.,train
350,I :red_heart: these things!!:smiling_face_with_sunglasses::palm_tree:,"Verified Purchase
Ummmm...how are these bad boys 20 bucks?!
They are absolutely AMAZING!!!",Michael price,2023-09-03,5,black,False,False,0,False,verified purchase ummmm|absolutely amazing|Verified Purchase|absolutely AMAZING|Ummmm|bucks|bad boys,0,I :red_heart: these things!!:smiling_face_with_sunglasses::palm_tree:. Verified Purchase Ummmm...how are these bad boys 20 bucks?! They are absolutely AMAZING!!!,train
6,THESE ARE DOPE,They dont completely block out outside noise but you can use these to listen to podcast music and literally anything that has a sound. I mess with these headphones you should too especially for the price,Josiah Thorpe,2022-07-11,5,,False,False,0,True,dont completely block|listen to podcast|podcast music|music and literally|sound|noise|price|mess|headphones,1,THESE ARE DOPE. They dont completely block out outside noise but you can use these to listen to podcast music and literally anything that has a sound. I mess with these headphones you should too especially for the price,train
407,Great set of low cost headphones,"I got a few pairs of headphones i use, keep some in my backpack and some in my laptop case i got these to lay in bed with so if i break them then not a huge deal, was surprised by the sound quality of these and battery life
They lasted about 6 hours out of the box uncharged, took about 2 hours to charge them, they connected easily and work perfect, no problems, they don't sit well on my ears but its alright they make my ears pretty hot after a few hours id prefer fabric ear pads over the pleather style, they sound on par with other bluetooth headphones in this price range, maybe a little better but its not much difference, (not a bad thing!)",Alastorr,2023-07-15,5,,True,False,0,False,connected easily|huge deal|battery life|laptop case|lay in bed|sound quality|ears pretty hot|prefer fabric ear|fabric ear pads|pairs of headphones|bluetooth headphones|box uncharged|work perfect|pleather style|price range|bad thing|hours,0,"Great set of low cost headphones. I got a few pairs of headphones i use, keep some in my backpack and some in my laptop case i got these to lay in bed with so if i break them then not a huge deal, was surprised by the sound quality of these and battery life They lasted about 6 hours out of the box uncharged, took about 2 hours to charge them, they connected easily and work perfect, no problems, they don't sit well on my ears but its alright they make my ears pretty hot after a few hours id prefer fabric ear pads over the pleather style, they sound on par with other bluetooth headphones in this price range, maybe a little better but its not much difference, (not a bad thing!)",test
129,Now that I figured it out,For the past few days I was trying to figure out why they didn't work. Videos showed that they should work straight out the box. It was not until today that I realized the little blue stickers had to be removed. I am very pleased with these earbuds,ashen lord,2023-06-12,5,,False,False,4,True,videos showed|past few days|figure|Videos showed|work straight|box|removed|blue stickers|earbuds|today|realized|pleased,1,Now that I figured it out. For the past few days I was trying to figure out why they didn't work. Videos showed that they should work straight out the box. It was not until today that I realized the little blue stickers had to be removed. I am very pleased with these earbuds,train
351,Bluetooth earphones that are easy to use and inexpensive.,"Verified Purchase
I wanted to watch tv after my wife has gone to bed, in a manner consistent with both allowing her to sleep and me to thus survive the experience. Additionally, I did not want a lengthy cable tethering me to either the television or soundbar. As neither the tv nor my soundbar are capable of bluetooth connectivity, I pondered this quandary for quite some time, I am sorry to say. Then... epiphany! An Amazon 4K firestick costs about 30 bucks and IS a bluetooth device. Subsequent research revealed this lovely set of headphones is highly rated by thousands of reviewers and furthermore, was obtainable from Amazon without a co-signature from my bank's loan officer, thereby allowing the occasional, continued purchase of red meat.
On the technical side, instructions to connect and disconnect were clear and easily accomplished. The sound quality is very good, with three different acoustical settings. Surprisingly, I found I enjoy the heavy bass setting best. Also, the controls are ergonomically placed to allow for easy manipulation and another plus is the lengthy battery life, which frankly, is quite astonishing!
Overall, I am happy to be able to say these are terrific headphones! I am also quite certain I would be even happier, were I able to overcome my propensity to refer to them as 'Duck ass' headphones and avoid the subsequent disapprobation which ensues.",Gil Kibby,2023-02-25,5,black,False,False,13,True,bank's loan officer|heavy bass setting|lengthy battery life|subsequent research revealed|'duck ass' headphones|subsequent disapprobation|verified purchase|watch tv|lovely set|highly rated|red meat|technical side|easily accomplished|sound quality|acoustical settings|easy manipulation|terrific headphones|Verified Purchase|survive the experience|Amazon|wanted to watch|manner consistent|lengthy cable tethering|soundbar|continued purchase|allowing|Duck ass' headphones|Subsequent|bluetooth connectivity|bluetooth device,1,"Bluetooth earphones that are easy to use and inexpensive.. Verified Purchase I wanted to watch tv after my wife has gone to bed, in a manner consistent with both allowing her to sleep and me to thus survive the experience. Additionally, I did not want a lengthy cable tethering me to either the television or soundbar. As neither the tv nor my soundbar are capable of bluetooth connectivity, I pondered this quandary for quite some time, I am sorry to say. Then... epiphany! An Amazon 4K firestick costs about 30 bucks and IS a bluetooth device. Subsequent research revealed this lovely set of headphones is highly rated by thousands of reviewers and furthermore, was obtainable from Amazon without a co-signature from my bank's loan officer, thereby allowing the occasional, continued purchase of red meat. On the technical side, instructions to connect and disconnect were clear and easily accomplished. The sound quality is very good, with three different acoustical settings. Surprisingly, I found I enjoy the heavy bass setting best. Also, the controls are ergonomically placed to allow for easy manipulation and another plus is the lengthy battery life, which frankly, is quite astonishing! Overall, I am happy to be able to say these are terrific headphones! I am also quite certain I would be even happier, were I able to overcome my propensity to refer to them as 'Duck ass' headphones and avoid the subsequent disapprobation which ensues.",train
67,Great noise canceling headphones!!!!,"When I working with noisy tool, workout, read a book and go outside. This headphones never let me down when blocking noisy sound :) and sound quality is great a lot better than old airport.",Ata P,2022-06-20,5,,False,False,0,True,read a book|workout|noisy tool|working with noisy|blocking noisy sound|airport|quality is great|great a lot|sound quality|headphones,1,"Great noise canceling headphones!!!! When I working with noisy tool, workout, read a book and go outside. This headphones never let me down when blocking noisy sound :) and sound quality is great a lot better than old airport.",test
343,WOW!!!!!,"Verified Purchase
I did not expect to get this kind of Quality for that price. The sound is great, they are really comfortable and I was surprised how well these block out background noise. I liked these so much that I immediately ordered some for my Wife.",Jimmy_Jamzz,2023-09-03,5,black,False,True,0,False,verified purchase|Verified Purchase|kind of Quality|sound is great|background noise|Wife|block out background|price|immediately ordered|expect|comfortable|surprised,0,"WOW!!!!! Verified Purchase I did not expect to get this kind of Quality for that price. The sound is great, they are really comfortable and I was surprised how well these block out background noise. I liked these so much that I immediately ordered some for my Wife.",train
140,Cheap but good,Work great for the money if not wanting to speed 100s on iPods or bose headphones.,Mal zero,2023-07-02,5,,False,False,0,True,work great|speed 100s|Work great|wanting to speed|bose headphones|iPods or bose|money,1,Cheap but good. Work great for the money if not wanting to speed 100s on iPods or bose headphones.,train
265,GO AND BUY!!!!,An Amazing product! Super affordable to which is great.,Katalinahanson,2023-09-04,5,white,False,True,0,True,amazing product|super affordable|Amazing product|Super affordable|great,0,GO AND BUY!!!! An Amazing product! Super affordable to which is great.,train
319,Good quality for price,Easy to set up Bluetooth with my device and good sound quality for an affordable price.,Amanda,2023-08-15,5,,False,False,0,True,good sound quality|set up Bluetooth|Easy to set|affordable price|device and good,0,Good quality for price. Easy to set up Bluetooth with my device and good sound quality for an affordable price.,train
390,Love these I was surprised because the price is so good,"Verified Purchase
The price was very affordable so I didn’t expect much but I was pleasantly surprised I love them! My only thing is that taking phone calls is a little hard it sounds far away but other than that there perfect",Chantee Lackey,2023-05-23,5,black,False,False,6,True,verified purchase|didn’t expect|Verified Purchase|pleasantly surprised|surprised I love|taking phone calls|hard it sounds|perfect|price|affordable|thing,1,Love these I was surprised because the price is so good. Verified Purchase The price was very affordable so I didn't expect much but I was pleasantly surprised I love them! My only thing is that taking phone calls is a little hard it sounds far away but other than that there perfect,train
256,Excellent product,"Excellent product, good reach and comfortable",Lissette V.,2023-09-09,5,black,False,False,0,True,excellent product|Excellent product|good reach|reach and comfortable,0,"Excellent product. Excellent product, good reach and comfortable",train
366,these head phones are better than any gaming headt set i have own,"-BrownVerified Purchase
I was looking around and I found these head sets I was interested in them till I saw the 5% 1 stars and I took my chance because it only looked like shipment damage so I bought them hoping that they would be ok sense I live in Alaska and there on the other side of the lower 48 and when they got here they were just like the picture they are amazing the mic for the phone is crystal clear its like having a noise suppression mic right Infront of your mouth and when I went to my pc to listen to music I used my some what new razor head set and listen and full volume and it hurt my ears but when I put on these head set its like you are actually there is so clear and I can hear amazingly I just didn't want to swap them back over. i would defiantly buys these are the best for the cheapest.",Gabe,2023-02-23,5,black,False,False,1,True,-brownverified purchase|5% 1 stars|full volume|hear amazingly|defiantly buys|BrownVerified Purchase|razor head set|noise suppression mic|head sets|live in Alaska|crystal clear|found these head|mic right Infront|looked like shipment|shipment damage|bought them hoping|sense I live|phone is crystal,1,these head phones are better than any gaming headt set i have own. -BrownVerified Purchase I was looking around and I found these head sets I was interested in them till I saw the 5% 1 stars and I took my chance because it only looked like shipment damage so I bought them hoping that they would be ok sense I live in Alaska and there on the other side of the lower 48 and when they got here they were just like the picture they are amazing the mic for the phone is crystal clear its like having a noise suppression mic right Infront of your mouth and when I went to my pc to listen to music I used my some what new razor head set and listen and full volume and it hurt my ears but when I put on these head set its like you are actually there is so clear and I can hear amazingly I just didn't want to swap them back over. i would defiantly buys these are the best for the cheapest.,train
396,The best headphones,"Verified Purchase
Was shocked how good these sound ! Best 30 bucks I’ve spent in a while’ Love em !",Dennis Dupont,2023-05-24,5,black,False,False,1,True,while’ love em|verified purchase|Verified Purchase|while’ Love|good these sound|bucks I ’ve|shocked how good|’ve spent,1,The best headphones. Verified Purchase Was shocked how good these sound ! Best 30 bucks I've spent in a while' Love em !,train
274,great little ear buds! unless you’re calling your mom on a windy day,"Verified Purchase
Pros: good sound quality for the listener (me), reasonably comfortable, pair easily, charging case is convenient and cute, charge lasts a long time
Cons: when I am on the phone, they pick up every little noise and transmit it to whomever I am talking with. “What’s that sound???” - my mom, reacting to a small dog barking a block away, or a light breeze
Unfortunately, one fell out of my ear and into a sink of water yesterday. RIP little guy.",changeling,2020-08-31,4,black,False,False,0,True,verified purchase pros|long time cons|small dog barking|charge lasts|light breeze|water yesterday|Verified Purchase|good sound quality|pair easily|charging case|convenient and cute|case is convenient|RIP little guy|Pros|noise and transmit|listener|comfortable,1,"great little ear buds! unless you're calling your mom on a windy day. Verified Purchase Pros: good sound quality for the listener (me), reasonably comfortable, pair easily, charging case is convenient and cute, charge lasts a long time Cons: when I am on the phone, they pick up every little noise and transmit it to whomever I am talking with. ""What's that sound???"" - my mom, reacting to a small dog barking a block away, or a light breeze Unfortunately, one fell out of my ear and into a sink of water yesterday. RIP little guy.",train
252,Great product and fast shipping A+,Love the Bluetooth headphones very comfortable,Taurean Bullard,2023-09-09,5,white,False,False,0,True,bluetooth headphones|Love the Bluetooth|Bluetooth headphones|headphones very comfortable,0,Great product and fast shipping A+. Love the Bluetooth headphones very comfortable,train
3,"Comfortable, great sounding headphones that actually stay in my ears","After buying various in-ear headphones for walking/running, I've finally found a pair of headphones that doesn’t fall out of my ears! The over the ear clips are the key to keeping the headphones in place, and yet they are still comfortable to wear. I don’t even feel the clips, and the headphones are easy to put in and take out. I’m pretty sure my left ear hole is smaller than my right, and with other headphones even using the smaller earpiece in my left ear would still cause that earbud to fall out. But not with these headphones and the over the ear clip.
The sound quality of these headphones is excellent too, especially the bass, which can be difficult to get in this type of headphones. Usually I look to the over the ear headphones for good bass, but for exercising that’s a bit too bulky and leads to unwanted ear sweat. These headphones do a terrific job of reproducing all the highs and lows you'd want to hear.
I experienced no problems pairing the Bluetooth headphones with my Android phone and my Ubuntu Linux computer. The range is as good as any other Bluetooth devices I use – all of course depending on the Bluetooth adapter in your device and any physical obstructions in between.
While I haven’t had the headphones long enough to see how the batteries hold up long term, I can say that they hold a charge for a very long time. The digital display on the case that shows the remaining battery percentage is a nice touch, too, as are the multicolored lights on the earbuds themselves that show the connectivity status. A reasonable length USB charging cable is included, as are the different size earpieces. The button on the side works well for pausing or skipping tracks. I can’t say I’ve wanted to test just how waterproof these are, but they are advertised to be IPX7 waterproof, so I guess we’ll see if I encounter any wet weather in the near future and I’ll report back if I do. The charging case makes these ear buds super portable. I’m unlikely to even need the charging cable to plug them in when going on trips.
In conclusion, this is a quality pair of headphones all around, and for the price it’s an obvious choice. Pick one up – you’ll be glad you did!",Ryan,2023-07-20,5,,False,False,1,True,ubuntu linux computer|remaining battery percentage|i’ll report back|unwanted ear sweat|charging case makes|charging cable|sound quality|exercising that’s|terrific job|problems pairing|android phone|bluetooth devices|bluetooth adapter|physical obstructions|long term|long time|digital display|nice touch|multicolored lights|connectivity status|size earpieces|side works|skipping tracks|i’ve wanted|guess we’ll|wet weather|price it’s|obvious choice|doesn’t fall|i’m pretty|smaller earpiece|batteries hold|ipx7 waterproof|quality pair|bluetooth headphones|good bass|buying various in-ear|finally found|in-ear headphones|Bluetooth headphones|ear clips|left ear hole|headphones long|running,0,"Comfortable, great sounding headphones that actually stay in my ears. After buying various in-ear headphones for walking/running, I've finally found a pair of headphones that doesn't fall out of my ears! The over the ear clips are the key to keeping the headphones in place, and yet they are still comfortable to wear. I don't even feel the clips, and the headphones are easy to put in and take out. I'm pretty sure my left ear hole is smaller than my right, and with other headphones even using the smaller earpiece in my left ear would still cause that earbud to fall out. But not with these headphones and the over the ear clip. The sound quality of these headphones is excellent too, especially the bass, which can be difficult to get in this type of headphones. Usually I look to the over the ear headphones for good bass, but for exercising that's a bit too bulky and leads to unwanted ear sweat. These headphones do a terrific job of reproducing all the highs and lows you'd want to hear. I experienced no problems pairing the Bluetooth headphones with my Android phone and my Ubuntu Linux computer. The range is as good as any other Bluetooth devices I use – all of course depending on the Bluetooth adapter in your device and any physical obstructions in between. While I haven't had the headphones long enough to see how the batteries hold up long term, I can say that they hold a charge for a very long time. The digital display on the case that shows the remaining battery percentage is a nice touch, too, as are the multicolored lights on the earbuds themselves that show the connectivity status. A reasonable length USB charging cable is included, as are the different size earpieces. The button on the side works well for pausing or skipping tracks. I can't say I've wanted to test just how waterproof these are, but they are advertised to be IPX7 waterproof, so I guess we'll see if I encounter any wet weather in the near future and I'll report back if I do. The charging case makes these ear buds super portable. I'm unlikely to even need the charging cable to plug them in when going on trips. In conclusion, this is a quality pair of headphones all around, and for the price it's an obvious choice. Pick one up – you'll be glad you did!",test
195,Great Earbuds with a Budget Price,"Verified Purchase
These are my first set of wireless earbuds and I have to say that I am overall satisfied with the product. For $30, it gives a great bang for the buck. It does not have the best quality sound in the world, but it still provides an immersive experience good enough for listening to your favorite music or listening to podcasts. The earbuds pair instantly with your smartphone as long as your phone’s Bluetooth is turned on. The pairing process is very simple and I have not run into any issues. The earbuds themselves are very light and there are different sized buds that come with the packaging so you can find the ones that best fit your ear. The charging case is nice and light, and has a magnetic mechanism that allows for easy charging for your earbuds.
There are a few cons but they are very miniscule in comparison to the pros. Adjusting the volume though the earbuds can be a little annoying at times due to the 1-2 second lag time that is present upon attempting to adjust the volume through the control buttons. Additionally, the control buttons themselves can be a bit hard to press down. Lastly, for the charging case itself, there is no “on” or “off” button, so the case is constantly charging when you put in the earbuds, even when you don’t want it to.
These cons aside, overall for the price, I am satisfied with this product and would definitely recommend it to a friend or a family member.",RK,2020-04-04,5,black,False,False,0,True,immersive experience good|verified purchase|great bang|quality sound|favorite music|phone’s bluetooth|pairing process|sized buds|magnetic mechanism|easy charging|times due|lag time|bit hard|constantly charging|family member|Verified Purchase|charging case|control buttons|wireless earbuds|set of wireless|listening|earbuds pair instantly|phone ’s Bluetooth|Bluetooth is turned|satisfied|product|light,1,"Great Earbuds with a Budget Price. Verified Purchase These are my first set of wireless earbuds and I have to say that I am overall satisfied with the product. For $30, it gives a great bang for the buck. It does not have the best quality sound in the world, but it still provides an immersive experience good enough for listening to your favorite music or listening to podcasts. The earbuds pair instantly with your smartphone as long as your phone's Bluetooth is turned on. The pairing process is very simple and I have not run into any issues. The earbuds themselves are very light and there are different sized buds that come with the packaging so you can find the ones that best fit your ear. The charging case is nice and light, and has a magnetic mechanism that allows for easy charging for your earbuds. There are a few cons but they are very miniscule in comparison to the pros. Adjusting the volume though the earbuds can be a little annoying at times due to the 1-2 second lag time that is present upon attempting to adjust the volume through the control buttons. Additionally, the control buttons themselves can be a bit hard to press down. Lastly, for the charging case itself, there is no ""on"" or ""off"" button, so the case is constantly charging when you put in the earbuds, even when you don't want it to. These cons aside, overall for the price, I am satisfied with this product and would definitely recommend it to a friend or a family member.",train
